4110726	ADaM	ADaM: augmenting existing approximate fast matching algorithms with efficient and exact range queries	adam
3154873	ADAM	ADAM: Analysis of Discrete Models of Biological Systems Using Computer Algebra	adam
3530912	ADAM	ADAM: automated data management for research datasets	adam
2896143	ANCHOR	ANCHOR: a web server and database for analysis of protein–protein interaction binding pockets for drug discovery	anchor
2759549	ANCHOR	ANCHOR: web server for predicting protein binding regions in disordered proteins	anchor
3908709	APIS	APIS: The NIAAA Alcohol Policy Information System	apis
2874803	APIS	APIS: accurate prediction of hot spots in protein interfaces by combining protrusion index with solvent accessibility	apis
151184	Apollo	Apollo: a sequence annotation editor	apollo
3106203	APOLLO	APOLLO: a quality assessment service for single and multiple protein models	apollo
3113031	ARTEMIS	ARTEMIS: 192-week efficacy and safety of once-daily darunavir/ritonavir (DRV/r) vs lopinavir/r (LPV/r) in treatment-naïve HIV-1-infected adults	artemis
3278759	Artemis	Artemis: an integrated platform for visualization and analysis of high-throughput sequence-based experimental data	artemis
3541347	ASAP	ASAP: an environment for automated preprocessing of sequencing data	asap
1347526	ASAP	ASAP: a resource for annotating, curating, comparing, and disseminating genomic data	asap
3985307	ASD	 ASD: Biochemical Mechanisms behind Behavioral Disorders	asd
1347394	ASD	ASD: a bioinformatics resource on alternative splicing	asd
3013650	ASD	ASD: a comprehensive database of allosteric proteins and modulators	asd
3112945	BEST	BEST: Better Equipped to Start Treatment	best
4172027	BEST	BEST: Barcode Enabled Sequencing of Tetrads	best
1698476	BISON	BISON: bio-interface for the semi-global analysis of network patterns	bison
4287502	Bison	Bison: bisulfite alignment on nodes of a cluster	bison
1526457	BLISS	BLISS: biding site level identification of shared signal-modules in DNA regulatory sequences	bliss
3240458	BLISS	BLISS: an artificial language for learnability studies	bliss
1174863	CAGER	CAGER: classification analysis of gene expression regulation using multiple information sources	cager
4417143	CAGEr	 CAGEr: precise TSS data retrieval and high-resolution promoterome mining for integrative analyses	cager
4409221	CCTop	CCTop: An Intuitive, Flexible and Reliable CRISPR/Cas9 Target Prediction Tool	cctop
4489262	CCTOP	CCTOP: a Consensus Constrained TOPology prediction web server	cctop
1643837	CGAT	CGAT: a comparative genome analysis tool for visualizing alignments in the analysis of complex evolutionary changes between closely related genomes	cgat
3998125	CGAT	CGAT: computational genomics analysis toolkit	cgat
4384009	CODEX	CODEX: a next-generation sequencing experiment database for the haematopoietic and embryonic stem cell communities	codex
4381046	CODEX	CODEX: a normalization and copy number variation detection method for whole exome sequencing	codex
3013729	COMBREX	COMBREX: a project to accelerate the functional annotation of prokaryotic genomes	combrex
3064401	COMBREX	COMBREX: COMputational BRidge to EXperiments	combrex
4531541	CoMEt	CoMEt: a statistical approach to identify combinations of mutually exclusive alterations in cancer	comet
4422463	coMET	coMET: visualisation of regional epigenome-wide association scan results and DNA co-methylation patterns	comet
4191385	COMET	COMET: adaptive context-based modeling for ultrafast HIV-1 subtype identification	comet
4373771	Compass	Compass: Clinical Evaluation of a New Instrument for the Diagnosis of Glaucoma	compass
3533091	CoMPASs	CoMPASs: IOn programme (Care Of Memory Problems in Advanced Stages of dementia: Improving Our Knowledge): protocol for a mixed methods study	compass
2447729	ConTra	ConTra: a promoter alignment analysis tool for identification of transcription factor binding sites across species	contra
3348560	CONTRA	CONTRA: copy number analysis for targeted resequencing	contra
3576325	Coral	Coral: an integrated suite of visualizations for comparing clusterings	coral
3737537	CoRAL	CoRAL: predicting non-coding RNAs from small RNA-sequencing data	coral
2712342	CORAL	CORAL: aligning conserved core regions across domain families	coral
4331793	COSMOS	COSMOS: cloud enabled NGS analysis	cosmos
1395340	CoSMoS	CoSMoS: Conserved Sequence Motif Search in the proteome	cosmos
4184253	COSMOS	COSMOS: Python library for massively parallel workflows	cosmos
2722656	CSA	CSA: An efficient algorithm to improve circular DNA multiple alignment	csa
3394275	CSA	CSA: comprehensive comparison of pairwise protein structure alignments	csa
1160188	DIAL	DIAL: a web-based server for the automatic identification of structural domains in proteins	dial
1933154	DIAL	DIAL: a web server for the pairwise alignment of two RNA three-dimensional structures using nucleotide, dihedral angle and base-pairing similarities	dial
3576320	DISCOVER	DISCOVER: Dutch Iliac Stent trial: COVERed balloon-expandable versus uncovered balloon-expandable stents in the common iliac artery: study protocol for a randomized controlled trial	discover
2687984	DISCOVER	DISCOVER: a feature-based discriminative method for motif search in complex genomes	discover
4124145	ELM	ELM: enhanced lowest common ancestor based method for detecting a pathogenic virus from a large sequence dataset	elm
2808914	ELM	ELM: the status of the 2010 eukaryotic linear motif resource	elm
3146908	EXACT	EXACT: EXercise or Advice after ankle fraCTure. Design of a randomised controlled trial	exact
2954855	ExaCT	ExaCT: automatic extraction of clinical trial characteristics from journal publications	exact
2426692	FASH	FASH: A web application for nucleotides sequence search	fash
3854911	FASH	FASH: Focused Assessment with Sonography for HIV/TB – A Practical Manual. Tom Heller, 2013, Munich, Germany	fash
3386014	FAST	FAST: towards safe and effective subcutaneous immunotherapy of persistent life-threatening food allergies	fast
4437040	FAST	FAST: FAST Analysis of Sequences Toolbox	fast
4489278	FlyNet	FlyNet: a versatile network prioritization server for the Drosophila community	flynet
2773252	Flynet	Flynet: a genomic resource for Drosophila melanogaster transcriptional regulatory networks	flynet
4413800	F-MARC	F-MARC: the FIFA Sudden Death Registry (FIFA-SDR)	f-marc
4413678	F-MARC	F-MARC: promoting the prevention and management of sudden cardiac arrest in football	f-marc
1481545	GAIA	GAIA: An easy-to-use web-based application for interaction analysis of case-control data	gaia
2648738	GAIA	GAIA: a gram-based interaction analysis tool – an approach for identifying interacting domains in yeast	gaia
2413207	GALA	GALA: an international multicentre randomised trial comparing general anaesthesia versus local anaesthesia for carotid surgery	gala
4404950	GALA	GALA: group analysis leads to accuracy, a novel approach for solving the inverse problem in exploratory analysis of group MEG recordings	gala
1137029	GeMS	GeMS: an advanced software package for designing synthetic genes	gems
1160230	GEMS	GEMS: a web server for biclustering analysis of expression data	gems
4183485	GIANT	GIANT: A Cytoscape Plugin for Modular Networks	giant
3897944	GIANT	GIANT: pattern analysis of molecular interactions in 3D structures of protein–small ligand complexes	giant
2877064	GOAL	GOAL: What Have We Learned?	goal
2873542	GOAL	GOAL: A software tool for assessing biological significance of genes groups	goal
2636808	GRIP	GRIP: A web-based system for constructing Gold Standard datasets for protein-protein interaction prediction	grip
3338021	GRiP	GRiP: a computational tool to simulate transcription factor binding in prokaryotes	grip
3038436	Hal	Hal: an Automated Pipeline for Phylogenetic Analyses of Genomic Data	hal
3654707	HAL	HAL: a hierarchical format for storing and analyzing multiple genome alignments	hal
3469612	Harmony	Harmony: EEG/MEG Linear Inverse Source Reconstruction in the Anatomical Basis of Spherical Harmonics	harmony
1538917	HARMONY	HARMONY: a server for the assessment of protein structures	harmony
3814457	Harvest	Harvest: A Web-Based Biomedical Data Discovery and Reporting Application Development Platform	harvest
3932456	Harvest	Harvest: an open platform for developing web-based biomedical data discovery and reporting applications	harvest
2941693	Harvest	Harvest: an open-source tool for the validation and improvement of peptide identification metrics and fragmentation exploration	harvest
2696453	Hydra	Hydra: software for tailored processing of H/D exchange data from MS or tandem MS analyses	hydra
3538679	Hydra	Hydra: a scalable proteomic search engine which utilizes the Hadoop distributed computing framework	hydra
4319104	IMp	IMp: The customizable LEGO® Pinned Insect Manipulator	imp
