pmid	year	name	term
21355427	2011	DescriptorName	Australia
21355427	2011	DescriptorName	DNA Contamination
21355427	2011	DescriptorName	DNA Fingerprinting
21355427	2011	QualifierName	legislation & jurisprudence
21355427	2011	DescriptorName	Forensic Medicine
21355427	2011	DescriptorName	Humans
21355427	2011	DescriptorName	Rape
21355427	2011	QualifierName	legislation & jurisprudence
21323727	2011	
21297532	2011	
21291296	2011	DescriptorName	Aged
21291296	2011	DescriptorName	Epiretinal Membrane
21291296	2011	QualifierName	physiopathology
21291296	2011	QualifierName	surgery
21291296	2011	DescriptorName	Female
21291296	2011	DescriptorName	Humans
21291296	2011	DescriptorName	Male
21291296	2011	DescriptorName	Microsurgery
21291296	2011	DescriptorName	Middle Aged
21291296	2011	DescriptorName	Prospective Studies
21291296	2011	DescriptorName	Refraction, Ocular
21291296	2011	QualifierName	physiology
21291296	2011	DescriptorName	Retina
21291296	2011	QualifierName	pathology
21291296	2011	DescriptorName	Tomography, Optical Coherence
21291296	2011	DescriptorName	Vision Disorders
21291296	2011	QualifierName	diagnosis
21291296	2011	QualifierName	physiopathology
21291296	2011	DescriptorName	Visual Acuity
21291296	2011	DescriptorName	Vitrectomy
21225599	2011	
21176917	2011	DescriptorName	Adult
21176917	2011	DescriptorName	Aged
21176917	2011	DescriptorName	Aged, 80 and over
21176917	2011	DescriptorName	Carcinoma, Renal Cell
21176917	2011	QualifierName	surgery
21176917	2011	DescriptorName	Female
21176917	2011	DescriptorName	Glomerular Filtration Rate
21176917	2011	DescriptorName	Humans
21176917	2011	DescriptorName	Kidney
21176917	2011	QualifierName	physiology
21176917	2011	DescriptorName	Kidney Neoplasms
21176917	2011	QualifierName	surgery
21176917	2011	DescriptorName	Male
21176917	2011	DescriptorName	Middle Aged
21176917	2011	DescriptorName	Nephrectomy
21176917	2011	DescriptorName	Prognosis
21176917	2011	DescriptorName	Proportional Hazards Models
21176917	2011	DescriptorName	Renal Insufficiency
21176917	2011	QualifierName	epidemiology
21176917	2011	DescriptorName	Treatment Outcome
21176917	2011	DescriptorName	Young Adult
21166349	2010	DescriptorName	Carcinogens, Environmental
21166349	2010	QualifierName	metabolism
21166349	2010	DescriptorName	Chromium
21166349	2010	QualifierName	metabolism
21166349	2010	DescriptorName	Citric Acid
21166349	2010	QualifierName	metabolism
21166349	2010	QualifierName	pharmacology
21166349	2010	DescriptorName	Desert Climate
21166349	2010	DescriptorName	India
21166349	2010	DescriptorName	Mycorrhizae
21166349	2010	QualifierName	metabolism
21166349	2010	DescriptorName	Plant Leaves
21166349	2010	QualifierName	metabolism
21166349	2010	DescriptorName	Plant Roots
21166349	2010	QualifierName	metabolism
21166349	2010	DescriptorName	Plant Shoots
21166349	2010	QualifierName	metabolism
21166349	2010	DescriptorName	Salvadoraceae
21166349	2010	QualifierName	metabolism
21166349	2010	QualifierName	microbiology
21166349	2010	DescriptorName	Seedling
21166349	2010	QualifierName	metabolism
21166349	2010	DescriptorName	Species Specificity
21166349	2010	DescriptorName	Terminalia
21166349	2010	QualifierName	metabolism
21166349	2010	QualifierName	microbiology
21166349	2010	DescriptorName	Trees
21166349	2010	QualifierName	metabolism
21166349	2010	QualifierName	microbiology
21106792	2011	DescriptorName	Adult
21106792	2011	DescriptorName	Bacteroidetes
21106792	2011	QualifierName	isolation & purification
21106792	2011	DescriptorName	China
21106792	2011	QualifierName	epidemiology
21106792	2011	DescriptorName	Chronic Periodontitis
21106792	2011	QualifierName	epidemiology
21106792	2011	QualifierName	microbiology
21106792	2011	QualifierName	pathology
21106792	2011	DescriptorName	DNA, Bacterial
21106792	2011	QualifierName	genetics
21106792	2011	DescriptorName	Female
21106792	2011	DescriptorName	Humans
21106792	2011	DescriptorName	Male
21106792	2011	DescriptorName	Middle Aged
21106792	2011	DescriptorName	Pasteurellaceae
21106792	2011	QualifierName	isolation & purification
21106792	2011	DescriptorName	Polymerase Chain Reaction
21106792	2011	DescriptorName	Porphyromonas gingivalis
21106792	2011	QualifierName	isolation & purification
21106792	2011	DescriptorName	Prevalence
21106792	2011	DescriptorName	Risk Factors
21078266	2010	
21070227	2011	
21064188	2011	
21063496	2010	
21063492	2010	
21039783	2010	DescriptorName	Endothelium, Vascular
21039783	2010	QualifierName	metabolism
21039783	2010	QualifierName	pathology
21039783	2010	DescriptorName	Hemangioma
21039783	2010	QualifierName	diagnosis
21039783	2010	QualifierName	etiology
21039783	2010	QualifierName	therapy
21039783	2010	DescriptorName	Humans
21039783	2010	DescriptorName	Infant
21039783	2010	DescriptorName	Signal Transduction
21039783	2010	DescriptorName	Stem Cells
21039783	2010	QualifierName	metabolism
21039783	2010	QualifierName	pathology
21039783	2010	DescriptorName	Vascular Endothelial Growth Factors
21039783	2010	QualifierName	metabolism
21039783	2010	DescriptorName	Vascular Neoplasms
21039783	2010	QualifierName	diagnosis
21039783	2010	QualifierName	etiology
21039783	2010	QualifierName	therapy
20954671	2010	DescriptorName	Aged
20954671	2010	DescriptorName	Aged, 80 and over
20954671	2010	DescriptorName	Arthroplasty, Replacement, Knee
20954671	2010	QualifierName	adverse effects
20954671	2010	QualifierName	methods
20954671	2010	QualifierName	rehabilitation
20954671	2010	DescriptorName	Female
20954671	2010	DescriptorName	Humans
20954671	2010	DescriptorName	Joint Deformities, Acquired
20954671	2010	QualifierName	surgery
20954671	2010	DescriptorName	Knee Joint
20954671	2010	QualifierName	physiopathology
20954671	2010	QualifierName	surgery
20954671	2010	DescriptorName	Knee Prosthesis
20954671	2010	DescriptorName	Male
20954671	2010	DescriptorName	Middle Aged
20954671	2010	DescriptorName	Osteoarthritis, Knee
20954671	2010	QualifierName	physiopathology
20954671	2010	QualifierName	surgery
20954671	2010	DescriptorName	Patella
20954671	2010	QualifierName	surgery
20954671	2010	DescriptorName	Postoperative Complications
20954671	2010	DescriptorName	Prospective Studies
20954671	2010	DescriptorName	Quadriceps Muscle
20954671	2010	QualifierName	surgery
20954671	2010	DescriptorName	Range of Motion, Articular
20954671	2010	DescriptorName	Surgical Procedures, Minimally Invasive
20954671	2010	QualifierName	adverse effects
20954671	2010	QualifierName	methods
20954671	2010	QualifierName	rehabilitation
20954671	2010	DescriptorName	Treatment Outcome
20942877	2010	DescriptorName	Aged
20942877	2010	DescriptorName	Blood Flow Velocity
20942877	2010	QualifierName	physiology
20942877	2010	DescriptorName	Blood Pressure
20942877	2010	QualifierName	physiology
20942877	2010	DescriptorName	Carotid Arteries
20942877	2010	QualifierName	physiology
20942877	2010	QualifierName	ultrasonography
20942877	2010	DescriptorName	Case-Control Studies
20942877	2010	DescriptorName	Compliance
20942877	2010	DescriptorName	Female
20942877	2010	DescriptorName	Humans
20942877	2010	DescriptorName	Magnetic Resonance Imaging
20942877	2010	DescriptorName	Manometry
20942877	2010	DescriptorName	Middle Aged
20942877	2010	DescriptorName	Muscle Contraction
20942877	2010	QualifierName	physiology
20942877	2010	DescriptorName	Muscle Strength
20942877	2010	QualifierName	physiology
20942877	2010	DescriptorName	Muscle, Skeletal
20942877	2010	QualifierName	anatomy & histology
20942877	2010	QualifierName	physiology
20942877	2010	DescriptorName	Walking
20942877	2010	QualifierName	physiology
20924196	2011	DescriptorName	Colorimetry
20924196	2011	QualifierName	methods
20924196	2011	DescriptorName	DNA, Bacterial
20924196	2011	QualifierName	metabolism
20924196	2011	DescriptorName	Enzyme Assays
20924196	2011	QualifierName	methods
20924196	2011	DescriptorName	Escherichia coli
20924196	2011	QualifierName	enzymology
20924196	2011	QualifierName	genetics
20924196	2011	DescriptorName	Escherichia coli Proteins
20924196	2011	QualifierName	genetics
20924196	2011	QualifierName	isolation & purification
20924196	2011	QualifierName	metabolism
20924196	2011	DescriptorName	Methylation
20924196	2011	DescriptorName	Methyltransferases
20924196	2011	QualifierName	genetics
20924196	2011	QualifierName	isolation & purification
20924196	2011	QualifierName	metabolism
20924196	2011	DescriptorName	RNA, Bacterial
20924196	2011	QualifierName	metabolism
20883167	2010	DescriptorName	Amino Acid Sequence
20883167	2010	DescriptorName	Amino Acid Substitution
20883167	2010	DescriptorName	Animals
20883167	2010	DescriptorName	Antibodies, Neutralizing
20883167	2010	QualifierName	immunology
20883167	2010	DescriptorName	Antibodies, Viral
20883167	2010	QualifierName	immunology
20883167	2010	DescriptorName	Cells, Cultured
20883167	2010	DescriptorName	DNA Mutational Analysis
20883167	2010	DescriptorName	Equidae
20883167	2010	DescriptorName	Glycoproteins
20883167	2010	QualifierName	genetics
20883167	2010	QualifierName	immunology
20883167	2010	QualifierName	metabolism
20883167	2010	DescriptorName	Glycosylation
20883167	2010	DescriptorName	Horses
20883167	2010	DescriptorName	Infectious Anemia Virus, Equine
20883167	2010	QualifierName	immunology
20883167	2010	QualifierName	isolation & purification
20883167	2010	QualifierName	pathogenicity
20883167	2010	DescriptorName	Molecular Sequence Data
20883167	2010	DescriptorName	Protein Processing, Post-Translational
20883167	2010	DescriptorName	Sequence Deletion
20883167	2010	DescriptorName	Viral Envelope Proteins
20883167	2010	QualifierName	genetics
20883167	2010	QualifierName	immunology
20883167	2010	QualifierName	metabolism
20883167	2010	DescriptorName	Virulence
20883167	2010	DescriptorName	Virus Replication
20879978	2010	
20879957	2010	DescriptorName	Administration, Inhalation
20879957	2010	DescriptorName	Aerosols
20879957	2010	QualifierName	pharmacokinetics
20879957	2010	DescriptorName	Animals
20879957	2010	DescriptorName	Disease Models, Animal
20879957	2010	DescriptorName	Dose-Response Relationship, Drug
20879957	2010	DescriptorName	Humans
20879957	2010	DescriptorName	Inhalation Exposure
20879957	2010	DescriptorName	Lung
20879957	2010	QualifierName	drug effects
20879957	2010	QualifierName	metabolism
20879957	2010	QualifierName	physiopathology
20879957	2010	DescriptorName	Mice
20879957	2010	DescriptorName	Mice, Inbred Strains
20879957	2010	QualifierName	anatomy & histology
20879957	2010	QualifierName	physiology
20879957	2010	DescriptorName	Models, Statistical
20879957	2010	DescriptorName	Respiratory Function Tests
20879957	2010	DescriptorName	Respiratory System
20879957	2010	QualifierName	drug effects
20879957	2010	QualifierName	metabolism
20879957	2010	QualifierName	physiopathology
20879957	2010	DescriptorName	Species Specificity
20861846	2010	DescriptorName	Double-Blind Method
20861846	2010	DescriptorName	Erectile Dysfunction
20861846	2010	QualifierName	drug therapy
20861846	2010	QualifierName	etiology
20861846	2010	DescriptorName	Humans
20861846	2010	DescriptorName	Male
20861846	2010	DescriptorName	Middle Aged
20861846	2010	DescriptorName	Parkinson Disease
20861846	2010	QualifierName	complications
20861846	2010	DescriptorName	Phosphodiesterase 5 Inhibitors
20861846	2010	QualifierName	administration & dosage
20861846	2010	QualifierName	adverse effects
20861846	2010	DescriptorName	Piperazines
20861846	2010	QualifierName	administration & dosage
20861846	2010	QualifierName	adverse effects
20861846	2010	DescriptorName	Placebos
20861846	2010	DescriptorName	Purines
20861846	2010	QualifierName	administration & dosage
20861846	2010	QualifierName	adverse effects
20861846	2010	DescriptorName	Sulfones
20861846	2010	QualifierName	administration & dosage
20861846	2010	QualifierName	adverse effects
20861846	2010	DescriptorName	Treatment Outcome
20846133	2010	DescriptorName	Brain Neoplasms
20846133	2010	QualifierName	epidemiology
20846133	2010	DescriptorName	Case-Control Studies
20846133	2010	DescriptorName	Cellular Phone
20846133	2010	DescriptorName	Denmark
20846133	2010	QualifierName	epidemiology
20846133	2010	DescriptorName	Electromagnetic Fields
20846133	2010	QualifierName	adverse effects
20846133	2010	DescriptorName	Neoplasms, Radiation-Induced
20846133	2010	QualifierName	epidemiology
20846133	2010	DescriptorName	Neuroma, Acoustic
20846133	2010	QualifierName	epidemiology
20846133	2010	QualifierName	etiology
20845913	2010	
20843327	2010	DescriptorName	Causality
20843327	2010	DescriptorName	Decision Making
20843327	2010	QualifierName	ethics
20843327	2010	DescriptorName	Ethical Analysis
20843327	2010	DescriptorName	Ethics, Clinical
20843327	2010	DescriptorName	Ethics, Medical
